即時值查詢
資料時間：2024/05/27~2026/05/27
"測站","日期","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
花蓮,2024/06/17,PM2.5,8,7,12,11,6,5,9,9,14,15,11,8,12,19,9,14,15,12,14,13,14,14,13,10
花蓮,2024/06/18,PM2.5,6,10,10,9,8,9,9,11,12,16,8,8,6,17,5,4,10,9,11,10,8,11,11,14
花蓮,2024/06/19,PM2.5,8,10,17,7,13,8,11,10,9,7,8,10,9,5,4,7,6,6,5,3,3,4,2,1
花蓮,2024/06/20,PM2.5,3,3,3,4,4,3,6,7,6,5,#,0,0,1,1,2,2,1,1,4,2,0,5,2
花蓮,2024/06/21,PM2.5,0,5,4,1,1,3,2,0,2,3,2,#,2,1,3,1,1,2,5,6,5,4,4,4
花蓮,2024/06/22,PM2.5,3,0,3,2,7,3,2,2,6,4,1,0,0,1,3,1,2,6,5,4,4,6,5,9
花蓮,2024/06/23,PM2.5,7,10,7,6,5,3,5,7,10,11,11,10,10,8,10,11,7,8,6,8,5,3,5,4
花蓮,2024/06/24,PM2.5,7,5,4,3,4,5,11,8,9,5,6,4,6,6,8,3,0,2,2,7,6,2,1,1
花蓮,2024/06/25,PM2.5,0,0,0,0,0,0,2,3,5,7,#,2,3,3,1,1,0,2,3,3,3,2,3,2
花蓮,2024/06/26,PM2.5,3,2,2,2,0,3,4,1,1,2,0,0,0,2,4,9,8,4,2,4,4,6,6,4
花蓮,2024/06/27,PM2.5,1,1,0,1,3,5,1,0,4,5,1,0,3,1,3,5,4,2,6,5,1,1,5,6
花蓮,2024/06/28,PM2.5,3,0,1,3,3,1,3,5,6,4,3,3,3,4,3,2,5,8,7,3,3,5,5,2
花蓮,2024/06/29,PM2.5,2,1,0,6,5,3,4,4,3,1,1,5,4,3,2,6,4,8,6,10,10,12,6,3
花蓮,2024/06/30,PM2.5,3,5,5,8,4,0,3,4,5,5,3,4,4,5,5,5,6,4,4,4,6,4,4,5
花蓮,2024/07/01,PM2.5,5,4,4,7,5,3,3,4,5,7,2,5,4,1,2,4,7,5,6,6,5,5,2,1
花蓮,2024/07/02,PM2.5,2,5,4,3,0,2,9,11,9,4,0,0,3,5,2,0,1,8,5,3,2,3,3,4
花蓮,2024/07/03,PM2.5,5,6,4,3,1,1,3,3,1,6,4,0,#,0,1,0,1,NA,NA,3,4,4,7,5
花蓮,2024/07/04,PM2.5,3,5,3,6,5,2,2,4,3,3,1,0,0,0,#,2,4,2,0,7,5,3,6,4
花蓮,2024/07/05,PM2.5,4,5,3,2,4,3,1,1,2,2,1,0,0,0,4,1,0,1,1,1,1,0,3,5
花蓮,2024/07/06,PM2.5,4,2,3,5,6,5,5,5,4,5,3,2,0,0,0,1,0,3,3,1,2,6,6,2
花蓮,2024/07/07,PM2.5,0,6,4,1,1,0,5,3,2,1,0,3,2,0,2,0,0,1,1,5,3,5,2,0
花蓮,2024/07/08,PM2.5,0,3,3,3,2,0,2,2,0,0,2,2,0,0,0,0,1,2,4,3,7,9,5,1
花蓮,2024/07/09,PM2.5,0,2,2,1,3,1,0,0,2,2,0,0,0,1,2,0,0,5,4,0,1,1,0,0
花蓮,2024/07/10,PM2.5,0,6,5,6,4,1,0,5,4,5,3,0,3,2,1,0,3,4,1,0,0,1,0,3
花蓮,2024/07/11,PM2.5,3,1,0,2,3,2,7,4,2,1,#,2,2,4,3,1,9,9,4,0,2,2,1,2
花蓮,2024/07/12,PM2.5,4,4,3,2,0,0,4,6,6,4,6,6,4,5,7,6,3,2,4,6,5,9,6,5
花蓮,2024/07/13,PM2.5,3,6,7,6,5,4,4,8,8,7,7,6,7,5,5,6,8,7,6,6,11,6,1,1
花蓮,2024/07/14,PM2.5,3,5,6,6,2,1,2,2,2,1,1,1,0,0,0,1,0,0,1,6,4,4,4,0
花蓮,2024/07/15,PM2.5,0,2,3,1,1,3,3,2,0,0,0,4,4,1,0,2,2,0,1,1,3,3,5,4
花蓮,2024/07/16,PM2.5,0,3,2,2,2,0,0,0,1,3,0,0,0,2,5,2,0,3,3,4,3,1,1,1
花蓮,2024/07/17,PM2.5,0,2,4,4,9,7,3,0,3,3,0,0,3,4,1,2,3,4,1,0,3,3,2,0
花蓮,2024/07/18,PM2.5,0,9,7,4,5,6,8,4,6,6,#,0,0,1,3,5,4,3,5,3,4,6,9,6
花蓮,2024/07/19,PM2.5,4,4,3,2,1,3,4,5,8,5,3,2,0,1,0,3,6,5,1,0,2,4,4,3
花蓮,2024/07/20,PM2.5,4,2,3,4,2,4,6,4,4,2,3,2,1,2,2,1,0,2,1,3,10,6,1,0
花蓮,2024/07/21,PM2.5,0,0,3,1,2,0,0,0,2,2,0,0,3,4,1,0,4,4,3,3,5,4,2,3
花蓮,2024/07/22,PM2.5,2,3,2,9,5,1,5,5,2,1,6,6,3,1,4,3,1,1,2,3,2,2,4,5
花蓮,2024/07/23,PM2.5,0,0,4,4,0,0,4,4,1,5,4,4,3,1,4,7,3,1,2,2,2,1,1,0
花蓮,2024/07/24,PM2.5,0,0,0,1,1,3,2,2,3,2,0,0,0,0,3,0,0,2,9,7,7,4,2,0
花蓮,2024/07/25,PM2.5,0,1,1,1,2,2,0,0,0,6,5,6,2,1,3,3,3,5,11,6,2,2,2,1
花蓮,2024/07/26,PM2.5,0,5,7,5,3,1,4,4,10,9,7,4,5,5,12,26,26,24,27,10,17,13,14,8
花蓮,2024/07/27,PM2.5,4,3,4,2,3,3,1,2,3,4,10,11,8,4,3,3,1,1,2,4,4,5,3,2
花蓮,2024/07/28,PM2.5,1,2,3,3,1,0,4,6,5,7,7,5,5,6,3,0,2,4,5,4,3,4,4,2
花蓮,2024/07/29,PM2.5,3,4,3,4,3,4,4,4,1,0,4,3,2,1,0,0,1,1,1,6,5,3,5,5
花蓮,2024/07/30,PM2.5,3,2,0,0,1,1,3,8,8,8,#,0,4,3,0,0,4,4,3,1,0,4,4,2
花蓮,2024/07/31,PM2.5,4,5,4,4,5,5,5,3,7,8,3,2,5,4,3,2,5,6,6,4,4,6,5,4
花蓮,2024/08/01,PM2.5,5,5,5,3,4,3,5,7,6,4,3,2,0,7,7,4,3,3,8,7,8,6,8,7
花蓮,2024/08/02,PM2.5,4,5,5,2,0,3,8,5,6,5,8,7,9,6,5,5,11,10,9,11,8,10,7,10
花蓮,2024/08/03,PM2.5,7,6,7,4,4,8,7,6,6,5,8,9,5,1,5,11,13,15,5,9,10,10,5,10
花蓮,2024/08/04,PM2.5,10,11,10,9,7,8,11,6,6,6,6,8,4,2,5,7,8,7,9,9,8,8,10,9
花蓮,2024/08/05,PM2.5,9,14,10,11,11,8,7,10,9,8,11,10,9,10,10,18,14,12,15,13,12,17,18,17
花蓮,2024/08/06,PM2.5,15,17,13,16,21,10,9,13,11,10,10,12,12,11,9,8,8,10,15,14,17,14,18,14
花蓮,2024/08/07,PM2.5,12,13,10,6,9,8,9,7,5,12,15,12,9,8,15,11,10,11,8,11,11,14,10,6
花蓮,2024/08/08,PM2.5,14,11,11,8,6,4,7,8,8,7,#,14,15,13,13,11,11,9,8,11,9,8,6,9
花蓮,2024/08/09,PM2.5,7,6,6,8,7,7,6,8,7,10,6,3,5,4,6,11,10,6,5,6,5,4,6,4
花蓮,2024/08/10,PM2.5,3,3,3,3,7,7,5,3,3,3,3,3,3,5,7,8,16,8,8,6,9,8,4,3
花蓮,2024/08/11,PM2.5,4,4,6,6,6,6,6,9,8,8,7,4,3,3,7,6,3,5,11,12,13,12,9,8
花蓮,2024/08/12,PM2.5,5,6,4,6,8,6,4,6,5,5,5,4,5,3,2,5,4,3,6,8,12,8,6,8
花蓮,2024/08/13,PM2.5,6,5,4,5,4,5,5,4,6,4,#,6,7,6,5,5,6,8,10,8,6,9,7,5
花蓮,2024/08/14,PM2.5,2,3,4,6,4,4,3,7,5,6,4,4,2,1,5,9,5,4,4,3,2,1,3,3
花蓮,2024/08/15,PM2.5,1,2,2,5,4,6,6,11,7,7,3,3,3,1,2,4,4,4,6,4,3,5,4,4
花蓮,2024/08/16,PM2.5,3,4,6,8,5,3,5,7,3,3,5,1,0,0,0,0,1,2,2,7,6,5,6,5
花蓮,2024/08/17,PM2.5,4,3,3,2,0,5,6,3,2,1,3,4,3,3,2,4,8,9,6,7,8,5,3,4
花蓮,2024/08/18,PM2.5,4,7,6,3,0,3,5,4,6,6,11,8,6,5,3,7,5,7,3,1,2,1,2,2
花蓮,2024/08/19,PM2.5,1,1,4,4,3,3,5,6,5,9,5,7,4,6,6,6,6,5,4,5,4,1,3,7
花蓮,2024/08/20,PM2.5,5,7,6,8,5,7,3,2,2,3,#,8,3,5,3,4,4,4,5,6,9,7,6,5
花蓮,2024/08/21,PM2.5,3,3,5,4,2,3,3,1,0,5,4,6,4,3,3,1,6,5,5,5,6,3,3,5
花蓮,2024/08/22,PM2.5,7,10,8,6,6,4,3,2,3,3,6,6,7,6,9,6,8,11,9,9,11,11,15,11
花蓮,2024/08/23,PM2.5,9,16,15,7,6,4,8,9,7,9,9,12,8,9,13,9,9,13,11,12,12,7,6,6
花蓮,2024/08/24,PM2.5,6,6,5,8,10,8,7,11,8,5,7,9,6,8,8,6,4,5,10,10,7,7,11,6
花蓮,2024/08/25,PM2.5,5,9,7,6,7,8,10,8,5,5,6,9,7,8,7,8,6,8,11,11,7,8,5,6
花蓮,2024/08/26,PM2.5,7,4,5,5,5,6,6,5,4,4,3,4,9,7,5,5,8,11,10,9,15,14,13,11
花蓮,2024/08/27,PM2.5,9,10,11,11,10,10,10,9,8,10,#,5,5,5,6,3,4,7,9,6,5,6,9,11
花蓮,2024/08/28,PM2.5,7,3,6,6,5,4,6,5,7,6,2,4,5,5,9,7,7,6,7,7,6,5,9,7
花蓮,2024/08/29,PM2.5,5,6,8,7,6,6,5,4,8,9,8,6,6,6,5,9,17,18,15,9,8,11,12,10
花蓮,2024/08/30,PM2.5,9,11,10,8,5,5,4,3,2,7,5,6,6,5,5,4,4,3,2,6,11,10,8,6
花蓮,2024/08/31,PM2.5,10,10,9,8,7,7,8,7,5,7,7,6,4,2,0,0,0,4,5,5,4,3,3,3
花蓮,2024/09/01,PM2.5,4,5,4,7,6,6,8,6,3,6,5,1,2,5,3,2,5,4,2,2,6,6,6,7
花蓮,2024/09/02,PM2.5,4,3,3,4,7,9,6,9,6,6,#,10,8,6,6,7,10,7,8,9,7,9,9,7
花蓮,2024/09/03,PM2.5,10,7,4,4,5,5,7,8,6,5,4,6,7,11,10,9,6,5,6,5,4,9,8,9
花蓮,2024/09/04,PM2.5,6,4,8,6,8,8,5,4,4,3,0,0,0,0,0,0,3,1,0,0,5,5,4,2
花蓮,2024/09/05,PM2.5,2,2,2,2,0,0,1,3,0,0,2,4,0,0,4,3,2,0,0,3,5,5,3,0
花蓮,2024/09/06,PM2.5,0,0,0,0,0,1,2,5,3,7,5,1,0,0,0,0,0,0,2,2,6,4,3,3
花蓮,2024/09/07,PM2.5,1,1,4,4,2,2,3,2,3,2,0,1,1,1,0,1,2,0,1,1,0,0,1,0
花蓮,2024/09/08,PM2.5,0,0,0,0,2,2,2,0,0,4,1,0,0,0,0,0,0,3,1,0,0,0,2,0
花蓮,2024/09/09,PM2.5,0,0,0,1,0,3,3,2,3,4,1,0,0,0,0,0,3,13,9,14,8,5,9,6
花蓮,2024/09/10,PM2.5,3,3,0,5,6,3,2,1,0,2,4,6,5,5,4,6,7,8,6,9,8,9,8,12
花蓮,2024/09/11,PM2.5,7,12,8,11,8,6,8,6,6,5,5,5,5,5,4,3,5,6,7,6,10,7,3,6
花蓮,2024/09/12,PM2.5,4,5,3,10,7,6,5,4,3,6,#,8,5,2,4,6,6,6,5,5,6,4,4,4
花蓮,2024/09/13,PM2.5,5,6,4,2,2,3,1,1,1,0,2,1,0,0,0,1,1,2,1,1,0,0,0,2
花蓮,2024/09/14,PM2.5,1,1,0,0,3,2,0,0,0,0,2,1,2,5,2,0,2,1,3,5,3,2,1,0
花蓮,2024/09/15,PM2.5,0,1,1,1,1,1,3,2,0,0,1,0,0,0,1,2,0,5,7,10,8,4,5,9
花蓮,2024/09/16,PM2.5,6,4,3,3,2,4,2,0,0,6,3,0,0,0,0,0,0,0,3,7,7,4,4,3
花蓮,2024/09/17,PM2.5,2,1,0,2,1,0,0,1,1,1,0,3,1,5,5,4,7,7,9,11,9,8,4,2
花蓮,2024/09/18,PM2.5,3,4,7,4,2,0,0,5,5,4,#,5,4,5,4,4,6,8,7,5,4,0,3,3
花蓮,2024/09/19,PM2.5,4,2,1,1,1,2,2,2,1,3,6,3,3,5,2,4,6,14,9,7,9,5,2,0
花蓮,2024/09/20,PM2.5,0,5,6,6,5,1,0,2,5,3,2,3,1,0,4,2,0,0,7,7,3,3,3,4
花蓮,2024/09/21,PM2.5,2,1,2,2,4,3,1,0,2,1,1,0,3,4,3,2,4,13,8,4,4,4,4,5
花蓮,2024/09/22,PM2.5,4,3,3,2,4,3,2,1,3,5,4,3,5,6,9,6,3,6,4,1,1,1,1,0
花蓮,2024/09/23,PM2.5,1,0,1,1,0,0,0,1,4,3,0,0,0,0,0,1,1,0,0,1,1,1,1,0
花蓮,2024/09/24,PM2.5,3,3,2,2,1,2,4,2,2,5,8,6,3,2,3,4,7,6,5,8,9,8,4,1
花蓮,2024/09/25,PM2.5,0,3,4,4,7,5,2,7,5,4,4,3,1,2,3,4,3,4,7,8,5,2,0,4
花蓮,2024/09/26,PM2.5,2,2,7,5,7,5,9,6,4,3,#,8,4,1,2,3,4,4,6,6,9,7,7,7
花蓮,2024/09/27,PM2.5,4,2,5,11,7,5,6,6,6,5,5,6,8,7,7,6,4,1,3,5,3,3,3,2
花蓮,2024/09/28,PM2.5,1,4,2,1,3,4,3,1,0,2,7,10,12,9,5,7,8,7,4,5,3,0,0,0
花蓮,2024/09/29,PM2.5,1,2,3,2,0,1,1,0,0,0,1,1,1,2,1,0,0,4,4,2,0,0,1,0
花蓮,2024/09/30,PM2.5,0,1,0,0,0,0,2,1,0,0,1,1,4,5,0,0,0,2,2,0,0,0,0,0
花蓮,2024/10/01,PM2.5,1,4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
花蓮,2024/10/02,PM2.5,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,0,1,5,3,2,2,1,0
花蓮,2024/10/03,PM2.5,0,0,1,3,2,3,3,0,0,1,0,6,2,0,0,0,0,0,1,2,2,0,0,0
花蓮,2024/10/04,PM2.5,0,0,0,0,0,0,3,2,0,2,#,5,4,3,4,2,4,6,4,2,0,3,4,4
花蓮,2024/10/05,PM2.5,1,2,4,3,1,1,1,1,3,3,2,8,4,4,4,5,4,4,4,3,6,4,0,4
花蓮,2024/10/06,PM2.5,4,3,5,5,3,3,3,5,4,2,0,0,0,0,1,4,3,2,2,4,6,2,0,1
花蓮,2024/10/07,PM2.5,1,1,2,2,0,2,2,1,2,2,2,1,3,2,1,0,0,2,3,1,3,4,4,3
花蓮,2024/10/08,PM2.5,3,2,0,0,1,1,2,2,1,1,6,4,1,5,4,4,6,4,2,4,5,5,7,6
花蓮,2024/10/09,PM2.5,4,2,1,2,3,2,3,3,1,3,5,4,8,7,4,6,6,6,7,6,8,6,8,10
花蓮,2024/10/10,PM2.5,7,4,5,6,5,6,5,8,5,2,5,7,8,6,8,9,8,6,9,10,10,8,15,8
花蓮,2024/10/11,PM2.5,7,5,4,7,9,6,5,4,6,5,#,10,13,14,17,11,11,14,14,11,14,13,11,11
花蓮,2024/10/12,PM2.5,12,8,10,9,8,8,8,12,8,5,6,6,4,3,3,3,4,8,9,7,8,8,4,2
花蓮,2024/10/13,PM2.5,3,3,4,4,6,7,3,0,2,2,8,9,5,3,5,10,9,9,8,11,15,12,9,9
花蓮,2024/10/14,PM2.5,8,8,11,11,8,7,8,7,4,3,5,6,5,7,6,3,4,7,7,9,7,7,7,9
花蓮,2024/10/15,PM2.5,6,4,6,6,8,5,3,7,6,7,5,3,2,6,4,2,5,5,3,0,1,4,6,5
花蓮,2024/10/16,PM2.5,3,2,2,2,3,2,3,3,6,5,#,#,4,5,3,4,4,3,4,6,10,6,4,3
花蓮,2024/10/17,PM2.5,6,6,3,1,2,5,5,7,6,2,6,5,3,4,3,1,3,9,7,7,5,6,6,6
花蓮,2024/10/18,PM2.5,4,4,8,8,8,9,7,4,6,5,4,5,2,0,0,0,1,0,2,3,4,3,9,8
花蓮,2024/10/19,PM2.5,5,3,3,3,1,0,1,2,1,0,0,0,0,0,2,1,1,1,6,5,2,3,2,0
花蓮,2024/10/20,PM2.5,0,1,1,1,0,0,0,1,1,0,0,2,5,2,1,3,3,0,1,2,3,2,0,0
花蓮,2024/10/21,PM2.5,0,0,0,6,5,1,3,3,0,1,3,4,1,1,2,3,4,6,6,5,4,4,2,0
花蓮,2024/10/22,PM2.5,2,3,0,0,4,6,4,2,5,4,4,7,8,9,9,#,7,7,8,8,7,3,0,0
花蓮,2024/10/23,PM2.5,3,5,4,4,6,6,10,9,6,3,2,4,3,5,2,3,3,3,5,5,4,2,5,7
花蓮,2024/10/24,PM2.5,4,0,1,3,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,3,0,0,0
花蓮,2024/10/25,PM2.5,0,0,0,1,0,0,0,0,3,0,0,3,9,7,8,6,5,1,0,1,3,3,1,0
花蓮,2024/10/26,PM2.5,2,2,0,0,0,5,4,2,3,4,6,8,5,3,3,1,1,5,4,4,6,4,1,1
花蓮,2024/10/27,PM2.5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,4,6,3,3,8,6,5,2,2
花蓮,2024/10/28,PM2.5,2,0,0,0,0,1,2,1,0,2,3,2,0,0,1,3,3,3,4,3,2,2,2,2
花蓮,2024/10/29,PM2.5,1,0,0,0,1,2,3,4,2,0,0,2,4,2,4,8,5,10,9,8,6,5,6,5
花蓮,2024/10/30,PM2.5,5,4,3,2,0,2,1,1,4,3,#,6,4,2,1,2,2,3,5,6,5,6,7,5
花蓮,2024/10/31,PM2.5,4,6,7,6,9,7,4,6,11,7,8,12,14,*,9,12,11,11,9,8,9,11,10,11
花蓮,2024/11/01,PM2.5,9,6,11,8,6,6,7,8,4,5,7,4,17,20,24,18,17,20,15,11,14,15,13,7
花蓮,2024/11/02,PM2.5,1,4,5,4,2,7,6,5,4,2,0,0,2,3,1,0,2,3,4,5,4,3,2,2
花蓮,2024/11/03,PM2.5,3,6,4,0,0,2,2,2,2,4,10,16,16,14,10,14,14,14,15,11,11,12,11,10
花蓮,2024/11/04,PM2.5,8,8,7,8,7,8,9,11,9,5,2,2,4,6,5,5,5,7,11,10,7,10,9,6
花蓮,2024/11/05,PM2.5,3,6,6,3,3,6,7,3,3,6,8,6,4,9,8,9,13,11,7,4,4,5,8,13
花蓮,2024/11/06,PM2.5,7,5,5,5,4,7,4,5,11,11,9,6,4,4,5,4,4,5,4,2,1,4,4,2
花蓮,2024/11/07,PM2.5,0,0,6,6,5,4,7,4,0,0,#,2,1,0,0,7,6,4,4,NA,5,6,8,11
花蓮,2024/11/08,PM2.5,6,5,4,4,3,0,0,0,2,1,1,2,0,0,0,3,4,6,6,2,0,0,5,7
花蓮,2024/11/09,PM2.5,3,3,4,2,0,3,3,4,4,2,0,0,0,1,5,3,2,1,0,0,0,1,3,0
花蓮,2024/11/10,PM2.5,0,2,4,5,4,2,1,2,2,2,3,2,0,0,1,4,6,3,1,3,2,2,2,4
花蓮,2024/11/11,PM2.5,4,5,4,5,5,4,3,6,5,3,4,7,8,5,5,5,9,10,8,6,10,10,10,10
花蓮,2024/11/12,PM2.5,5,9,6,2,0,0,0,0,3,4,4,5,3,1,2,2,6,3,3,5,3,5,5,2
花蓮,2024/11/13,PM2.5,0,2,2,0,0,0,1,2,2,6,#,0,2,2,3,0,0,5,5,3,3,6,5,4
花蓮,2024/11/14,PM2.5,4,5,5,3,6,5,4,3,2,7,5,5,5,3,1,0,3,8,7,8,8,5,4,5
花蓮,2024/11/15,PM2.5,6,6,6,4,2,1,1,4,5,7,4,1,2,1,2,9,8,3,2,3,2,3,4,1
花蓮,2024/11/16,PM2.5,1,1,2,1,0,0,0,4,4,3,0,0,4,4,2,0,3,4,8,12,6,3,1,2
花蓮,2024/11/17,PM2.5,1,1,3,4,2,5,5,4,9,7,5,3,0,0,1,0,0,0,1,0,0,2,0,1
花蓮,2024/11/18,PM2.5,2,4,7,12,10,9,7,9,6,9,8,9,10,7,9,7,8,8,10,6,3,2,0,0
花蓮,2024/11/19,PM2.5,1,5,3,2,3,3,2,3,3,5,5,3,0,0,3,5,3,3,1,4,5,3,2,7
花蓮,2024/11/20,PM2.5,5,7,6,4,3,4,2,0,1,2,2,0,0,0,4,2,0,0,1,2,1,2,5,7
花蓮,2024/11/21,PM2.5,3,0,1,4,2,0,0,0,2,2,1,0,0,0,#,#,10,10,8,7,9,9,9,7
花蓮,2024/11/22,PM2.5,9,8,7,7,7,7,13,9,8,14,9,7,13,9,10,10,12,9,9,10,7,9,8,10
花蓮,2024/11/23,PM2.5,10,11,11,12,12,8,15,15,14,14,13,15,14,19,19,18,16,14,15,12,17,9,15,10
花蓮,2024/11/24,PM2.5,14,14,15,8,11,13,11,8,10,11,12,11,12,9,9,11,17,10,16,17,16,7,8,12
花蓮,2024/11/25,PM2.5,9,8,8,5,9,8,9,10,#,#,x,3,4,6,9,7,15,19,10,12,20,15,9,7
花蓮,2024/11/26,PM2.5,4,4,6,9,10,8,7,7,4,5,#,5,9,7,8,9,10,9,7,10,6,3,5,9
花蓮,2024/11/27,PM2.5,4,1,2,2,1,3,4,9,8,10,9,15,5,6,8,9,9,7,8,15,13,8,8,5
花蓮,2024/11/28,PM2.5,6,10,8,4,5,7,7,11,11,10,12,7,5,8,10,9,12,17,12,11,11,14,14,10
花蓮,2024/11/29,PM2.5,9,9,17,13,12,12,11,9,15,13,10,7,9,8,6,14,11,14,14,18,15,13,11,13
花蓮,2024/11/30,PM2.5,13,15,16,10,9,7,7,9,6,10,7,5,3,1,4,6,11,14,17,17,14,9,7,9
花蓮,2024/12/01,PM2.5,9,5,3,2,4,6,4,3,5,4,9,5,4,5,2,1,6,11,13,17,7,*,6,5
花蓮,2024/12/02,PM2.5,4,6,7,5,3,5,4,5,5,3,4,9,7,4,4,3,3,11,10,9,11,11,7,7
花蓮,2024/12/03,PM2.5,7,7,8,6,2,2,7,7,6,6,7,6,3,5,7,9,9,8,10,8,9,7,6,6
花蓮,2024/12/04,PM2.5,5,3,3,5,4,4,4,6,12,8,5,6,11,8,6,10,14,10,11,9,7,6,5,11
花蓮,2024/12/05,PM2.5,9,5,6,5,6,5,7,8,7,6,6,7,7,6,#,10,10,10,11,9,17,6,7,6
花蓮,2024/12/06,PM2.5,5,11,9,7,6,4,4,6,12,9,12,13,11,9,9,6,8,9,11,10,14,17,12,10
花蓮,2024/12/07,PM2.5,8,10,9,7,8,5,4,6,5,2,4,6,6,10,11,13,12,11,8,8,11,6,6,4
花蓮,2024/12/08,PM2.5,6,6,2,6,6,4,5,4,2,3,3,3,2,6,6,5,3,4,4,4,4,4,3,1
花蓮,2024/12/09,PM2.5,4,4,1,0,4,6,5,3,1,4,5,4,3,3,5,4,3,10,6,7,8,6,6,5
花蓮,2024/12/10,PM2.5,5,3,2,2,3,2,10,7,4,6,4,3,4,3,6,6,9,7,6,5,7,4,2,2
花蓮,2024/12/11,PM2.5,2,2,6,5,7,6,3,4,5,5,2,3,5,3,1,0,3,10,7,7,4,1,8,8
花蓮,2024/12/12,PM2.5,5,6,5,5,5,3,3,3,2,2,3,#,3,5,7,6,5,5,9,7,7,6,3,4
花蓮,2024/12/13,PM2.5,6,6,5,2,6,5,5,3,2,3,3,1,2,6,3,3,6,5,6,8,7,4,1,0
花蓮,2024/12/14,PM2.5,4,4,3,2,3,8,10,8,9,9,14,17,21,19,23,23,21,14,20,14,14,19,17,20
花蓮,2024/12/15,PM2.5,9,16,18,18,11,13,10,13,17,11,13,11,9,5,11,10,13,11,16,14,14,12,10,8
花蓮,2024/12/16,PM2.5,4,7,6,5,6,5,4,5,7,10,9,7,15,9,11,10,18,15,11,10,11,14,9,8
花蓮,2024/12/17,PM2.5,11,12,8,2,1,5,4,6,7,5,6,4,5,7,7,8,13,9,12,12,10,12,15,10
花蓮,2024/12/18,PM2.5,9,10,6,4,6,5,2,8,11,11,9,7,12,11,6,9,10,15,16,25,23,21,19,19
花蓮,2024/12/19,PM2.5,18,15,19,12,23,17,14,13,15,11,#,6,7,3,4,11,8,12,9,9,12,7,5,3
花蓮,2024/12/20,PM2.5,3,6,5,7,5,6,7,4,2,2,1,0,0,0,0,1,2,5,10,8,11,15,8,8
花蓮,2024/12/21,PM2.5,6,4,5,4,3,1,3,4,2,4,4,2,3,2,2,4,4,7,5,7,6,11,9,6
